recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,customer_id
4,"6) $750 - $1,000",977.27,1,1,Surburban,1,Phone,No E-Mail,1,0,0.0,2888
10,1) $0 - $100,53.25,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,26618
10,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,50907
3,1) $0 - $100,66.09,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,36374
1,3) $200 - $350,301.64,1,0,Surburban,0,Web,Womens E-Mail,1,0,0.0,11631
8,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,18722
12,4) $350 - $500,389.67,0,1,Urban,0,Phone,No E-Mail,0,0,0.0,47284
5,5) $500 - $750,563.55,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0,7052
6,1) $0 - $100,73.59,1,0,Rural,0,Phone,Mens E-Mail,0,0,0.0,15244
1,4) $350 - $500,394.11,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0,35025
1,1) $0 - $100,58.98,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,11767
5,2) $100 - $200,159.87,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0,1600
7,1) $0 - $100,29.99,0,1,Rural,1,Web,No E-Mail,0,0,0.0,13661
1,3) $200 - $350,276.9,1,1,Surburban,0,Web,No E-Mail,0,0,0.0,52377
1,2) $100 - $200,123.09,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,63369
11,2) $100 - $200,116.19,0,1,Surburban,1,Web,Womens E-Mail,0,0,0.0,8288
6,4) $350 - $500,447.54,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,24442
3,1) $0 - $100,57.31,0,1,Urban,1,Phone,No E-Mail,1,1,29.99,21474
4,1) $0 - $100,86.48,0,1,Urban,1,Phone,No E-Mail,0,0,0.0,3103
3,5) $500 - $750,596.04,0,1,Rural,1,Multichannel,Mens E-Mail,0,0,0.0,36998
11,3) $200 - $350,203.56,1,1,Urban,0,Web,No E-Mail,1,0,0.0,14058
8,2) $100 - $200,105.3,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,29043
10,4) $350 - $500,350.61,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0,25781
1,1) $0 - $100,82.92,1,0,Urban,1,Web,Mens E-Mail,0,0,0.0,16078
4,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,42808
11,2) $100 - $200,100.7,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0,58075
12,4) $350 - $500,441.56,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,50281
7,1) $0 - $100,42.86,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0,62126
2,1) $0 - $100,48.19,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0,41500
3,2) $100 - $200,194.69,0,1,Rural,0,Phone,Mens E-Mail,0,0,0.0,46145
9,5) $500 - $750,639.11,0,1,Surburban,1,Multichannel,Womens E-Mail,1,0,0.0,8453
5,1) $0 - $100,33.48,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,39264
1,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0,0,0.0,13885
10,2) $100 - $200,111.17,1,0,Surburban,1,Web,Mens E-Mail,0,0,0.0,59738
7,5) $500 - $750,508.95,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0,36218
4,1) $0 - $100,37.6,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0,15558
5,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0,12910
9,2) $100 - $200,190.78,1,0,Urban,1,Web,No E-Mail,0,0,0.0,31283
4,1) $0 - $100,81.74,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,10531
1,5) $500 - $750,511.53,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,61460
7,5) $500 - $750,565.55,0,1,Urban,1,Multichannel,Womens E-Mail,0,0,0.0,58325
1,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.0,32896
1,2) $100 - $200,175.41,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0,11761
2,1) $0 - $100,95.08,0,1,Urban,0,Phone,No E-Mail,0,0,0.0,37414
9,2) $100 - $200,171.68,0,1,Urban,0,Web,Mens E-Mail,0,0,0.0,41361
8,2) $100 - $200,140.01,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0,31389
9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0,61052
4,2) $100 - $200,127.57,0,1,Urban,0,Web,Mens E-Mail,0,0,0.0,52170
3,3) $200 - $350,219.88,0,1,Rural,1,Phone,Womens E-Mail,0,0,0.0,22812
10,1) $0 - $100,41.58,0,1,Surburban,1,Web,No E-Mail,0,0,0.0,15531
6,"7) $1,000 +",1292.1,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0,583
3,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,1,0,0.0,41103
12,3) $200 - $350,282.65,1,1,Rural,0,Web,Womens E-Mail,1,0,0.0,36268
3,1) $0 - $100,40.86,1,0,Urban,0,Web,Mens E-Mail,1,0,0.0,41626
1,"6) $750 - $1,000",898.12,0,1,Rural,1,Web,No E-Mail,0,0,0.0,37705
9,2) $100 - $200,176.29,1,0,Urban,0,Phone,Mens E-Mail,1,0,0.0,4361
2,3) $200 - $350,245.33,1,1,Urban,1,Phone,Mens E-Mail,1,0,0.0,44919
10,2) $100 - $200,126.98,0,1,Urban,1,Phone,No E-Mail,0,0,0.0,22973
3,2) $100 - $200,136.75,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0,54421
10,5) $500 - $750,604.48,1,1,Urban,1,Phone,Womens E-Mail,0,0,0.0,30215
11,2) $100 - $200,122.94,0,1,Surburban,1,Web,Womens E-Mail,0,0,0.0,39924
2,1) $0 - $100,43.94,1,0,Surburban,1,Web,No E-Mail,0,0,0.0,31494
3,2) $100 - $200,131.42,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0,49517
3,2) $100 - $200,172.59,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0,62407
7,3) $200 - $350,281.58,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0,57617
5,1) $0 - $100,99.48,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0,6820
7,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0,9510
8,2) $100 - $200,111.72,1,0,Surburban,1,Web,Mens E-Mail,1,0,0.0,14992
3,2) $100 - $200,160.58,0,1,Urban,0,Web,No E-Mail,0,0,0.0,21738
2,5) $500 - $750,635.05,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0,54990
4,2) $100 - $200,163.6,1,0,Rural,0,Phone,Womens E-Mail,0,0,0.0,63489
4,3) $200 - $350,245.58,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0,23903
8,2) $100 - $200,119.66,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0,29398
10,3) $200 - $350,327.03,0,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0,7607
9,4) $350 - $500,356.77,0,1,Rural,1,Multichannel,Womens E-Mail,0,0,0.0,53382
6,3) $200 - $350,252.42,1,0,Rural,0,Phone,No E-Mail,0,0,0.0,37699
5,5) $500 - $750,682.12,0,1,Surburban,1,Web,Womens E-Mail,0,0,0.0,23693
10,2) $100 - $200,112.44,1,0,Urban,1,Web,Mens E-Mail,0,0,0.0,12645
5,4) $350 - $500,492.45,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0,56771
11,2) $100 - $200,109.83,1,0,Urban,0,Web,No E-Mail,1,0,0.0,44833
1,"7) $1,000 +",1816.16,0,1,Urban,1,Web,No E-Mail,1,0,0.0,46510
8,1) $0 - $100,44.88,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0,59150
10,3) $200 - $350,336.66,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0,7001
3,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,305
9,1) $0 - $100,29.99,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0,31212
9,1) $0 - $100,41.84,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,9053
7,1) $0 - $100,29.99,1,0,Rural,0,Web,Womens E-Mail,0,0,0.0,11126
5,4) $350 - $500,418.83,1,1,Urban,1,Multichannel,Womens E-Mail,1,0,0.0,31890
6,3) $200 - $350,208.24,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0,45597
8,3) $200 - $350,219.63,1,0,Surburban,1,Web,No E-Mail,0,0,0.0,15971
5,1) $0 - $100,41.11,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0,35970
9,1) $0 - $100,29.99,0,1,Urban,0,Web,No E-Mail,1,0,0.0,60057
4,4) $350 - $500,468.96,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0,32533
9,2) $100 - $200,199.09,1,0,Surburban,0,Web,Mens E-Mail,1,0,0.0,34649
1,1) $0 - $100,53.69,1,0,Surburban,0,Phone,Womens E-Mail,1,0,0.0,26320
11,4) $350 - $500,434.61,1,0,Urban,0,Web,No E-Mail,1,0,0.0,56119
9,1) $0 - $100,82.99,1,0,Surburban,1,Web,No E-Mail,0,0,0.0,35220
3,3) $200 - $350,246.99,1,0,Rural,1,Phone,Mens E-Mail,0,0,0.0,8124
6,1) $0 - $100,29.99,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0,2580
7,1) $0 - $100,67.88,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0,60319
3,3) $200 - $350,312.96,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0.0,11735
2,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0,51330
3,1) $0 - $100,29.99,1,0,Rural,0,Phone,Mens E-Mail,0,0,0.0,48917
9,1) $0 - $100,53.47,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,19052
6,3) $200 - $350,215.38,1,0,Rural,0,Phone,Womens E-Mail,0,0,0.0,36625
6,2) $100 - $200,115.4,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0,11280
5,3) $200 - $350,343.22,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0,43637
5,1) $0 - $100,42.69,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0,31458
7,1) $0 - $100,36.23,0,1,Surburban,0,Web,Mens E-Mail,1,0,0.0,53952
6,2) $100 - $200,122.26,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0,20862
4,2) $100 - $200,104.65,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,51964
10,2) $100 - $200,152.13,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,56272
2,2) $100 - $200,199.41,1,0,Surburban,1,Phone,Mens E-Mail,1,0,0.0,51830
12,1) $0 - $100,46.0,1,0,Rural,1,Web,Womens E-Mail,1,0,0.0,42409
8,2) $100 - $200,192.45,1,0,Surburban,1,Web,No E-Mail,0,0,0.0,51660
1,5) $500 - $750,576.93,1,1,Urban,1,Phone,No E-Mail,0,0,0.0,50715
4,1) $0 - $100,29.99,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0,35482
3,5) $500 - $750,587.38,0,1,Surburban,1,Multichannel,No E-Mail,0,0,0.0,52187
4,3) $200 - $350,274.67,0,1,Urban,1,Web,No E-Mail,0,0,0.0,25687
1,3) $200 - $350,237.92,1,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,3832
3,2) $100 - $200,127.93,1,0,Surburban,1,Web,No E-Mail,0,0,0.0,52205
1,4) $350 - $500,475.17,0,1,Urban,0,Multichannel,Mens E-Mail,0,0,0.0,26143
1,"7) $1,000 +",1404.7,1,0,Surburban,1,Web,Mens E-Mail,1,0,0.0,8250
3,2) $100 - $200,178.64,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0,35843
7,1) $0 - $100,83.96,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0,48645
7,3) $200 - $350,241.41,1,0,Rural,1,Phone,No E-Mail,0,0,0.0,5641
3,5) $500 - $750,625.37,1,1,Surburban,1,Phone,No E-Mail,0,0,0.0,4286
3,4) $350 - $500,358.84,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0,13786
2,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0,57335
7,1) $0 - $100,47.53,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0,2583
1,"7) $1,000 +",1240.41,0,1,Surburban,1,Web,No E-Mail,1,0,0.0,46233
2,3) $200 - $350,203.13,0,1,Rural,0,Phone,No E-Mail,0,0,0.0,17336
8,2) $100 - $200,172.98,0,1,Surburban,0,Phone,Womens E-Mail,0,0,0.0,52791
4,3) $200 - $350,208.16,1,1,Urban,1,Multichannel,No E-Mail,0,0,0.0,17175
3,5) $500 - $750,603.58,1,1,Surburban,1,Phone,No E-Mail,0,0,0.0,53136
3,5) $500 - $750,604.86,1,1,Surburban,1,Multichannel,Mens E-Mail,0,0,0.0,49838
5,3) $200 - $350,328.82,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0,53189
10,3) $200 - $350,228.78,1,0,Urban,1,Web,Mens E-Mail,1,0,0.0,23812
8,4) $350 - $500,461.85,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,37845
2,4) $350 - $500,475.83,1,0,Rural,1,Web,Womens E-Mail,0,0,0.0,5150
10,3) $200 - $350,218.12,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,18152
2,1) $0 - $100,41.5,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0,9728
2,5) $500 - $750,555.76,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0,54915
2,"6) $750 - $1,000",845.74,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0,13753
9,2) $100 - $200,157.15,0,1,Urban,0,Web,No E-Mail,0,0,0.0,63033
11,2) $100 - $200,108.72,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,1781
3,"6) $750 - $1,000",759.36,0,1,Surburban,1,Multichannel,No E-Mail,0,0,0.0,18318
1,3) $200 - $350,267.2,1,1,Urban,0,Multichannel,Mens E-Mail,0,0,0.0,18733
7,3) $200 - $350,290.36,1,0,Rural,1,Web,No E-Mail,0,0,0.0,18011
11,2) $100 - $200,191.45,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0,62523
9,2) $100 - $200,106.43,1,0,Surburban,1,Web,Mens E-Mail,0,0,0.0,43855
9,1) $0 - $100,41.93,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0,12497
1,3) $200 - $350,300.82,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,8162
1,1) $0 - $100,29.99,1,0,Surburban,1,Web,No E-Mail,0,0,0.0,28190
1,4) $350 - $500,358.06,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0,21084
1,4) $350 - $500,369.77,0,1,Surburban,1,Web,No E-Mail,0,0,0.0,6485
7,1) $0 - $100,98.07,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,12823
9,4) $350 - $500,404.03,1,1,Urban,0,Multichannel,No E-Mail,0,0,0.0,536
6,3) $200 - $350,314.42,1,1,Rural,0,Web,No E-Mail,1,0,0.0,36090
8,3) $200 - $350,349.39,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,20789
5,1) $0 - $100,29.99,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0,27830
2,4) $350 - $500,462.53,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0,44131
4,2) $100 - $200,144.66,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0,42176
12,1) $0 - $100,83.55,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0,9322
10,4) $350 - $500,386.15,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0,9790
10,4) $350 - $500,450.27,1,1,Surburban,0,Web,Mens E-Mail,1,0,0.0,11384
2,4) $350 - $500,466.33,1,1,Urban,1,Multichannel,No E-Mail,0,0,0.0,23924
3,4) $350 - $500,417.19,1,1,Surburban,0,Web,No E-Mail,0,0,0.0,54980
10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,23947
10,1) $0 - $100,35.39,0,1,Surburban,1,Web,Womens E-Mail,0,0,0.0,55201
9,3) $200 - $350,223.83,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0,38795
10,3) $200 - $350,261.33,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,9057
2,3) $200 - $350,201.4,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0,58471
4,1) $0 - $100,92.57,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0,50847
6,2) $100 - $200,147.17,0,1,Surburban,0,Web,No E-Mail,1,0,0.0,57532
1,1) $0 - $100,79.54,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,44261
2,3) $200 - $350,221.17,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0,49668
4,2) $100 - $200,119.57,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0,34066
1,2) $100 - $200,160.38,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,12224
3,3) $200 - $350,330.15,1,0,Rural,0,Web,No E-Mail,0,0,0.0,60305
10,5) $500 - $750,600.51,1,1,Surburban,1,Phone,Mens E-Mail,1,0,0.0,45531
7,1) $0 - $100,29.99,1,0,Surburban,0,Web,Mens E-Mail,1,0,0.0,43844
10,1) $0 - $100,42.29,1,0,Rural,0,Phone,Mens E-Mail,0,0,0.0,51037
10,2) $100 - $200,113.93,0,1,Surburban,1,Web,No E-Mail,0,0,0.0,19463
2,2) $100 - $200,117.81,1,0,Urban,1,Phone,No E-Mail,0,0,0.0,40125
11,2) $100 - $200,106.38,0,1,Urban,1,Phone,No E-Mail,0,0,0.0,27495
7,2) $100 - $200,193.85,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0,22267
3,1) $0 - $100,84.94,0,1,Urban,1,Web,Mens E-Mail,0,0,0.0,40170
11,1) $0 - $100,95.21,0,1,Urban,1,Phone,No E-Mail,0,0,0.0,32076
6,2) $100 - $200,111.88,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0,23063
11,2) $100 - $200,197.62,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0,8088
10,1) $0 - $100,29.99,0,1,Urban,0,Web,No E-Mail,1,1,397.29,13123
2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0,1239
2,1) $0 - $100,45.17,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,8091
3,5) $500 - $750,669.58,1,0,Surburban,1,Web,Womens E-Mail,1,0,0.0,10886
3,"7) $1,000 +",1234.86,1,1,Rural,1,Web,Mens E-Mail,0,0,0.0,1220
2,5) $500 - $750,729.69,1,1,Urban,1,Phone,Womens E-Mail,1,0,0.0,56308
6,5) $500 - $750,748.66,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0,35429
9,2) $100 - $200,121.03,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,10581
8,1) $0 - $100,78.81,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0,59350
7,3) $200 - $350,264.94,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0,17530
6,4) $350 - $500,350.88,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0,39676
11,4) $350 - $500,408.27,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0,27379
1,"6) $750 - $1,000",990.55,1,0,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0,5635
5,5) $500 - $750,635.68,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0,34369
2,"6) $750 - $1,000",771.02,1,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0,29844
3,4) $350 - $500,396.42,1,0,Urban,0,Web,No E-Mail,1,0,0.0,1198
10,1) $0 - $100,56.3,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0,14091
1,3) $200 - $350,248.36,0,1,Urban,0,Multichannel,No E-Mail,0,0,0.0,57459
12,1) $0 - $100,36.76,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,41392
10,1) $0 - $100,82.27,0,1,Urban,0,Web,No E-Mail,0,0,0.0,24679
1,1) $0 - $100,60.05,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0,43420
4,4) $350 - $500,482.6,1,0,Urban,0,Web,Womens E-Mail,1,0,0.0,49791
12,1) $0 - $100,37.21,0,1,Rural,0,Phone,Womens E-Mail,0,0,0.0,27007
5,2) $100 - $200,160.42,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0,15694
10,4) $350 - $500,353.0,0,1,Urban,0,Multichannel,Mens E-Mail,1,0,0.0,20672
7,4) $350 - $500,440.08,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0,42868
2,3) $200 - $350,240.87,0,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0,45912
4,3) $200 - $350,341.7,0,1,Rural,0,Phone,Mens E-Mail,0,0,0.0,30961
5,2) $100 - $200,109.64,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,8952
4,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0,53442
5,4) $350 - $500,483.29,1,0,Urban,1,Web,Mens E-Mail,0,0,0.0,4438
5,4) $350 - $500,438.76,1,0,Surburban,0,Web,Womens E-Mail,1,0,0.0,31265
4,3) $200 - $350,346.53,1,1,Urban,0,Web,Mens E-Mail,0,0,0.0,60141
12,1) $0 - $100,79.66,1,0,Surburban,1,Web,Mens E-Mail,0,0,0.0,2020
9,"6) $750 - $1,000",822.37,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0,54922
2,2) $100 - $200,127.98,0,1,Surburban,1,Web,No E-Mail,0,0,0.0,19346
12,1) $0 - $100,72.18,1,0,Urban,1,Phone,No E-Mail,0,0,0.0,42315
12,3) $200 - $350,205.27,1,1,Urban,1,Web,Womens E-Mail,0,0,0.0,7189
3,2) $100 - $200,192.47,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0,57630
7,3) $200 - $350,324.43,0,1,Urban,0,Multichannel,No E-Mail,0,0,0.0,6807
5,2) $100 - $200,179.74,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0,16313
5,5) $500 - $750,557.79,1,0,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0,27036
5,2) $100 - $200,199.22,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,8850
4,3) $200 - $350,281.69,0,1,Urban,1,Phone,No E-Mail,0,0,0.0,43434
2,4) $350 - $500,472.94,1,1,Surburban,0,Phone,Mens E-Mail,1,0,0.0,29515
3,3) $200 - $350,256.71,1,0,Surburban,1,Phone,No E-Mail,1,0,0.0,40249
6,1) $0 - $100,29.99,0,1,Rural,0,Web,No E-Mail,1,0,0.0,33580
7,1) $0 - $100,31.61,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,7984
1,3) $200 - $350,223.64,1,1,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0,15053
9,2) $100 - $200,182.71,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0,56644
3,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0,57785
5,1) $0 - $100,91.45,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0,56484
8,4) $350 - $500,384.18,1,0,Surburban,1,Web,No E-Mail,0,0,0.0,1743
2,5) $500 - $750,626.54,1,0,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0,32351
10,1) $0 - $100,74.59,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0,41636
7,1) $0 - $100,29.99,1,0,Surburban,0,Web,Womens E-Mail,1,0,0.0,54618
4,1) $0 - $100,80.5,1,0,Rural,0,Web,Mens E-Mail,1,0,0.0,3041
1,5) $500 - $750,674.28,1,1,Surburban,1,Multichannel,Mens E-Mail,0,0,0.0,2160
10,1) $0 - $100,81.07,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,31744
12,2) $100 - $200,190.3,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0,13824
1,3) $200 - $350,210.57,1,0,Urban,1,Phone,No E-Mail,0,0,0.0,2645
5,5) $500 - $750,672.56,1,1,Urban,1,Phone,No E-Mail,1,0,0.0,19956
2,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0,0,0.0,54235
9,3) $200 - $350,253.68,0,1,Rural,0,Multichannel,Mens E-Mail,1,1,84.05,14595
10,2) $100 - $200,175.31,1,0,Urban,0,Phone,Mens E-Mail,0,0,0.0,30823
2,1) $0 - $100,54.33,0,1,Urban,1,Web,Mens E-Mail,0,0,0.0,47191
8,1) $0 - $100,29.99,1,0,Urban,1,Web,No E-Mail,0,0,0.0,51855
1,5) $500 - $750,543.05,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,57986
7,1) $0 - $100,78.19,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0,16410
